          abs_avg_total       abs_max_total      abs_min_total       abs_avg_anchor      abs_max_anchor      abs_min_anchor      abs_avg_agent       abs_max_agent       abs_min_agent      rel_avg_total        rel_max_total       rel_min_total      rel_avg_anchor      rel_max_anchor      rel_min_anchor      rel_avg_agent      rel_max_agent      rel_min_agent
            0.383408            2.942882            0.105541            0.389102            3.063515            0.000116            0.379888            2.958916            0.095707            0.152989            0.660001            0.056110            0.184639            0.787448            0.027787            0.148908            0.329750            0.053559
            0.390298            3.103684            0.118285            0.381157            3.094853            0.001007            0.385382            3.122752            0.107574            0.155604            0.550860            0.041922            0.189190            0.588158            0.026204            0.151429            0.310375            0.042894
            0.378960            2.750403            0.106642            0.376820            3.007492            0.000057            0.374961            2.725161            0.086604            0.152679            0.540746            0.058011            0.179664            0.510939            0.026037            0.149252            0.307386            0.049913
            0.384508            3.062716            0.107205            0.370174            3.548983            0.000029            0.381638            3.034490            0.109694            0.162027            0.610825            0.063149            0.181618            0.562170            0.047778            0.159340            0.334931            0.059977
            0.342467            2.824172            0.110029            0.319188            3.233638            0.000594            0.342311            2.780124            0.094039            0.158282            0.322860            0.062631            0.174251            0.520154            0.026752            0.156341            0.332517            0.060151
            0.348700            3.008641            0.104605            0.344999            3.461613            0.001405            0.347185            2.992143            0.088424            0.151324            0.755482            0.046966            0.163501            0.438482            0.036141            0.149307            0.322603            0.045646
            0.426769            3.224473            0.108952            0.448984            3.813612            0.001498            0.422308            3.202286            0.092474            0.161645            0.515760            0.052700            0.195433            0.696528            0.035810            0.157485            0.392413            0.054577
            0.396460            3.054776            0.115222            0.426175            3.534856            0.000478            0.390410            3.021169            0.115989            0.161106            0.432718            0.057957            0.211450            0.767676            0.038341            0.155211            0.323595            0.058007
            0.421231            2.900819            0.122200            0.433378            2.858138            0.001479            0.415562            2.915305            0.109654            0.170388            0.538505            0.055553            0.233495            0.859206            0.037879            0.162956            0.346422            0.057517
            0.416742            3.186710            0.099627            0.451759            3.227913            0.000125            0.409829            3.204253            0.081013            0.164204            0.501253            0.044148            0.223817            0.838740            0.040477            0.157213            0.301327            0.043458
            0.432904            2.827426            0.120819            0.451224            2.933097            0.000135            0.428289            2.798401            0.120079            0.175586            0.530662            0.070051            0.223997            0.703246            0.042440            0.169799            0.343720            0.068770
            0.452684            2.503263            0.140095            0.414241            2.538306            0.000440            0.450315            2.507504            0.123045            0.177263            0.388358            0.064702            0.222073            0.740298            0.057697            0.172047            0.376543            0.055937
            0.463715            3.475667            0.133086            0.490830            3.712765            0.000104            0.458508            3.451826            0.118599            0.175402            0.382483            0.062418            0.218739            0.717415            0.044995            0.170359            0.314435            0.062781
            0.465486            3.013387            0.080436            0.471145            3.035292            0.000856            0.460432            3.028587            0.078112            0.166488            0.326812            0.047415            0.222191            0.757595            0.049848            0.160173            0.330691            0.043841
            0.469041            2.959030            0.105555            0.472109            2.763756            0.000112            0.464915            2.945899            0.089300            0.164287            0.571693            0.061435            0.216335            0.870649            0.049158            0.158053            0.343724            0.059381
            0.449839            3.664670            0.107888            0.444047            3.189603            0.000128            0.446138            3.690041            0.108223            0.168663            0.456294            0.048967            0.221554            0.924192            0.037131            0.162461            0.342873            0.044667
            0.433046            3.193288            0.124381            0.451234            3.618209            0.002997            0.427605            3.137794            0.113828            0.167369            0.626760            0.061267            0.219946            0.845743            0.038284            0.161017            0.309220            0.058297
            0.459126            3.449647            0.134676            0.446572            3.529382            0.000542            0.455666            3.445838            0.120929            0.167381            0.311227            0.049027            0.220228            0.786050            0.039444            0.161397            0.311432            0.050091
            0.446514            3.373052            0.103802            0.471674            3.829811            0.000350            0.440646            3.358635            0.092149            0.158283            0.447502            0.057756            0.216804            0.747730            0.046756            0.151469            0.308341            0.049234
            0.449435            3.588984            0.118137            0.447069            2.914178            0.000107            0.443436            3.630753            0.093988            0.165350            0.602816            0.063235            0.224061            0.798277            0.045143            0.158332            0.313451            0.054079
            0.465126            3.160149            0.094912            0.499440            3.037016            0.000069            0.460438            3.194148            0.097647            0.173022            0.520109            0.054855            0.224798            0.782823            0.040969            0.166874            0.319767            0.053069
            0.456894            3.270358            0.089647            0.469497            3.358689            0.000619            0.452926            3.270077            0.085172            0.165444            0.473702            0.054404            0.221237            0.794584            0.048487            0.158910            0.343258            0.049230
            0.476347            2.908110            0.111467            0.479496            2.843856            0.000323            0.471753            2.895024            0.105658            0.170106            0.466143            0.059611            0.217919            0.779366            0.037682            0.164459            0.298777            0.060331
            0.443951            2.900123            0.132431            0.455731            2.531275            0.000249            0.438696            2.928414            0.116723            0.176509            0.541330            0.055602            0.225065            0.778238            0.040781            0.170701            0.347432            0.051484
            0.434214            3.190696            0.113613            0.458170            3.102210            0.000117            0.428575            3.179468            0.094555            0.163215            0.530335            0.058927            0.217514            0.844679            0.033426            0.156788            0.342606            0.058248
            0.453135            3.143131            0.134074            0.459289            3.224412            0.000839            0.447730            3.124255            0.108879            0.169545            0.557371            0.068705            0.228608            0.868384            0.023404            0.162544            0.359776            0.070802
            0.497655            3.377400            0.100246            0.514721            3.767576            0.000260            0.493557            3.347366            0.098465            0.166626            0.386888            0.052989            0.215967            0.731958            0.045304            0.160902            0.311849            0.050664
